Packet 309 	 Time(ns) 19.812495
Packet 310 	 Time(ns) 128.781215
Packet 311 	 Time(ns) 49.531236
Packet 312 	 Time(ns) 19.812495
Packet 313 	 Time(ns) 69.343731
Packet 314 	 Time(ns) 99.062473
Packet 315 	 Time(ns) 69.343731
Packet 316 	 Time(ns) 99.062473
Packet 317 	 Time(ns) 148.593709
Packet 318 	 Time(ns) 19.812495
Packet 319 	 Time(ns) 39.624989
Packet 320 	 Time(ns) 19.812495
Packet 321 	 Time(ns) 108.968720
Packet 322 	 Time(ns) 79.249978
Packet 323 	 Time(ns) 9.906247
Packet 324 	 Time(ns) 49.531236
Packet 325 	 Time(ns) 29.718742
Packet 326 	 Time(ns) 108.968720
Packet 327 	 Time(ns) 19.812495
Packet 328 	 Time(ns) 79.249978
Packet 329 	 Time(ns) 19.812495
Packet 330 	 Time(ns) 39.624989
Packet 331 	 Time(ns) 79.249978
Packet 332 	 Time(ns) 108.968720
Packet 333 	 Time(ns) 69.343731
Packet 334 	 Time(ns) 69.343731
Packet 335 	 Time(ns) 19.812495
Packet 336 	 Time(ns) 19.812495
Packet 337 	 Time(ns) 59.437484
Packet 338 	 Time(ns) 138.687462
Packet 339 	 Time(ns) 29.718742
Packet 340 	 Time(ns) 99.062473
Packet 341 	 Time(ns) 29.718742
Packet 342 	 Time(ns) 9.906247
Packet 343 	 Time(ns) 89.156225
Packet 344 	 Time(ns) 89.156225
Packet 345 	 Time(ns) 19.812495
Packet 346 	 Time(ns) 99.062473
Packet 347 	 Time(ns) 9.906247
Packet 348 	 Time(ns) 19.812495
Packet 349 	 Time(ns) 59.437484
Packet 350 	 Time(ns) 128.781215
Packet 351 	 Time(ns) 39.624989
Packet 352 	 Time(ns) 39.624989
Packet 353 	 Time(ns) 9.906247
Packet 354 	 Time(ns) 69.343731
Packet 355 	 Time(ns) 9.906247
Packet 356 	 Time(ns) 9.906247
Packet 357 	 Time(ns) 148.593709
Packet 358 	 Time(ns) 178.312451
Packet 359 	 Time(ns) 69.343731
Packet 360 	 Time(ns) 19.812495
Packet 361 	 Time(ns) 9.906247
Packet 362 	 Time(ns) 158.499956
Packet 363 	 Time(ns) 9.906247
Packet 364 	 Time(ns) 49.531236
Packet 365 	 Time(ns) 19.812495
Packet 366 	 Time(ns) 59.437484
Packet 367 	 Time(ns) 19.812495
Packet 368 	 Time(ns) 39.624989
Packet 369 	 Time(ns) 69.343731
Packet 370 	 Time(ns) 29.718742
Packet 371 	 Time(ns) 99.062473
Packet 372 	 Time(ns) 9.906247
Packet 373 	 Time(ns) 59.437484
Packet 374 	 Time(ns) 59.437484
Packet 375 	 Time(ns) 9.906247
Packet 376 	 Time(ns) 19.812495
Packet 377 	 Time(ns) 89.156225
Packet 378 	 Time(ns) 19.812495
Packet 379 	 Time(ns) 9.906247
Packet 380 	 Time(ns) 49.531236
Packet 381 	 Time(ns) 19.812495
Packet 382 	 Time(ns) 19.812495
Packet 383 	 Time(ns) 89.156225
Packet 384 	 Time(ns) 19.812495
Packet 385 	 Time(ns) 79.249978
Packet 386 	 Time(ns) 39.624989
Packet 387 	 Time(ns) 59.437484
Packet 388 	 Time(ns) 118.874967
Packet 389 	 Time(ns) 69.343731
Packet 390 	 Time(ns) 118.874967
Packet 391 	 Time(ns) 128.781215
Packet 392 	 Time(ns) 89.156225
Packet 393 	 Time(ns) 19.812495
Packet 394 	 Time(ns) 99.062473
Packet 395 	 Time(ns) 108.968720
Packet 396 	 Time(ns) 49.531236
Packet 397 	 Time(ns) 39.624989
Packet 398 	 Time(ns) 69.343731
Packet 399 	 Time(ns) 39.624989
Packet 400 	 Time(ns) 89.156225
Packet 401 	 Time(ns) 188.218698
Packet 402 	 Time(ns) 19.812495
Packet 403 	 Time(ns) 79.249978
Packet 404 	 Time(ns) 39.624989
Packet 405 	 Time(ns) 9.906247
Packet 406 	 Time(ns) 79.249978
Packet 407 	 Time(ns) 9.906247
Packet 408 	 Time(ns) 19.812495
Packet 409 	 Time(ns) 89.156225
Packet 410 	 Time(ns) 19.812495
Packet 411 	 Time(ns) 9.906247
Packet 412 	 Time(ns) 158.499956
Packet 413 	 Time(ns) 49.531236
Packet 414 	 Time(ns) 9.906247
Packet 415 	 Time(ns) 89.156225
Packet 416 	 Time(ns) 69.343731
Packet 417 	 Time(ns) 9.906247
Packet 418 	 Time(ns) 99.062473
Packet 419 	 Time(ns) 39.624989
Packet 420 	 Time(ns) 158.499956
Packet 421 	 Time(ns) 79.249978
Packet 422 	 Time(ns) 59.437484
Packet 423 	 Time(ns) 89.156225
Packet 424 	 Time(ns) 89.156225
Packet 425 	 Time(ns) 99.062473
Packet 426 	 Time(ns) 19.812495
Packet 427 	 Time(ns) 128.781215
Packet 428 	 Time(ns) 89.156225
Packet 429 	 Time(ns) 19.812495
Packet 430 	 Time(ns) 108.968720
Packet 431 	 Time(ns) 19.812495
Packet 432 	 Time(ns) 19.812495
Packet 433 	 Time(ns) 59.437484
Packet 434 	 Time(ns) 29.718742
Packet 435 	 Time(ns) 19.812495
Packet 436 	 Time(ns) 99.062473
Packet 437 	 Time(ns) 99.062473
Packet 438 	 Time(ns) 9.906247
Packet 439 	 Time(ns) 89.156225
Packet 440 	 Time(ns) 99.062473
Packet 441 	 Time(ns) 59.437484
Packet 442 	 Time(ns) 59.437484
Packet 443 	 Time(ns) 69.343731
Packet 444 	 Time(ns) 19.812495
Packet 445 	 Time(ns) 79.249978
Packet 446 	 Time(ns) 49.531236
Packet 447 	 Time(ns) 49.531236
Packet 448 	 Time(ns) 39.624989
Packet 449 	 Time(ns) 39.624989
Packet 450 	 Time(ns) 19.812495
Packet 451 	 Time(ns) 89.156225
Packet 452 	 Time(ns) 39.624989
Packet 453 	 Time(ns) 49.531236
Packet 454 	 Time(ns) 29.718742
Packet 455 	 Time(ns) 108.968720
Packet 456 	 Time(ns) 39.624989
Packet 457 	 Time(ns) 59.437484
Packet 458 	 Time(ns) 108.968720
Packet 459 	 Time(ns) 39.624989
Packet 460 	 Time(ns) 59.437484
Packet 461 	 Time(ns) 128.781215
Packet 462 	 Time(ns) 19.812495
Packet 463 	 Time(ns) 99.062473
Packet 464 	 Time(ns) 89.156225
Packet 465 	 Time(ns) 69.343731
Packet 466 	 Time(ns) 148.593709
Packet 467 	 Time(ns) 118.874967
Packet 468 	 Time(ns) 148.593709
Packet 469 	 Time(ns) 39.624989
Packet 470 	 Time(ns) 79.249978
Packet 471 	 Time(ns) 49.531236
Packet 472 	 Time(ns) 49.531236
Packet 473 	 Time(ns) 89.156225
Packet 474 	 Time(ns) 19.812495
Packet 475 	 Time(ns) 49.531236
Packet 476 	 Time(ns) 168.406204
Packet 477 	 Time(ns) 19.812495
Packet 478 	 Time(ns) 99.062473
Packet 479 	 Time(ns) 89.156225
Packet 480 	 Time(ns) 128.781215
Packet 481 	 Time(ns) 89.156225
Packet 482 	 Time(ns) 29.718742
Packet 483 	 Time(ns) 89.156225
Packet 484 	 Time(ns) 99.062473
Packet 485 	 Time(ns) 108.968720
Packet 486 	 Time(ns) 178.312451
Packet 487 	 Time(ns) 59.437484
Packet 488 	 Time(ns) 49.531236
Packet 489 	 Time(ns) 69.343731
Packet 490 	 Time(ns) 19.812495
Packet 491 	 Time(ns) 99.062473
Packet 492 	 Time(ns) 108.968720
Packet 493 	 Time(ns) 99.062473
Packet 494 	 Time(ns) 29.718742
Packet 495 	 Time(ns) 29.718742
Packet 496 	 Time(ns) 69.343731
Packet 497 	 Time(ns) 69.343731
Packet 498 	 Time(ns) 79.249978
Packet 499 	 Time(ns) 49.531236
Packet 500 	 Time(ns) 99.062473
Packet 501 	 Time(ns) 69.343731
Packet 502 	 Time(ns) 69.343731
Packet 503 	 Time(ns) 79.249978
Packet 504 	 Time(ns) 59.437484
Packet 505 	 Time(ns) 59.437484
Packet 506 	 Time(ns) 89.156225
Packet 507 	 Time(ns) 49.531236
Packet 508 	 Time(ns) 9.906247
Packet 509 	 Time(ns) 99.062473
Packet 510 	 Time(ns) 59.437484
Packet 511 	 Time(ns) 59.437484
Packet 512 	 Time(ns) 79.249978
Packet 513 	 Time(ns) 19.812495
Packet 514 	 Time(ns) 39.624989
Packet 515 	 Time(ns) 79.249978
Packet 516 	 Time(ns) 69.343731
Packet 517 	 Time(ns) 19.812495
Packet 518 	 Time(ns) 118.874967
Packet 519 	 Time(ns) 49.531236
Packet 520 	 Time(ns) 79.249978
Packet 521 	 Time(ns) 59.437484
Packet 522 	 Time(ns) 29.718742
Packet 523 	 Time(ns) 128.781215
Packet 524 	 Time(ns) 118.874967
Packet 525 	 Time(ns) 9.906247
